date,title,location,salary,company_industry,education,prior_experience,bonus,stocks,total_comp,additional_benefits,tenure_length_period,tenure_length_period_units,survey_year
2020-12-28,Data Scientist,"San Francisco Bay Area, CA, USA",140.0,FAANG/Tech Unicorn,Non-US) BSc Econ/Stats (US) Master's Financial Eng,2 internships in quant asset management/hedge fund,es:** 60k/yr options on publicly traded,appreciated to \~80k since,200k,False,1.0,years,2020
2020-12-28,Informatics Manager,"New York, NY, USA",160.0,Healthcare,PhD,"2 years as a data scientist, 2 years in health IT "" $Internship "" $Coop",Desconhecido,Desconhecido,160k,False,1.0,years,2020
2020-12-28,Analytics Manager (individual contributor,"Chicago, IL, USA",107.0,travel technology,"BA in Communication, halfway through an MSDS","3 years in a prior analytics role, 12 years before that in traditional marketing roles","eligible annually, and merit based","awards that start vesting after a year (last year I got $20k, not sure how common these are given out",107-121k (base + bonus,False,1.5,years,2020
2020-12-28,Data Scientist,Austria,,Desconhecido,Bsc in Comp. Sci,Desconhecido,Desconhecido,Desconhecido,Desconhecido,False,2.0,years,2020
2020-12-28,Data Scientist,"West Coast, USA",375000.0,FAANG,Masters,E-Commerce,Desconhecido,0,"375,000",False,6.0,months,2020
2020-12-28,Machine Learning Manager,"Greater Toronto Area, ON, Canada",120.0,fast food lul,MSc in Statistics,2 years as MLE at various startups   * NLP research (industry collaborator) with a large AI research lab in Toronto   * ML research as a graduate researcher in a genomics lab,additional,compensation after first year,150k,True,2.0,unknown,2020
2020-12-28,Jr.) Data Scientist,Netherlands,40.0,Finance,Technical MSc,About 1.5 years of mostly internships and programming side-jobs,Desconhecido,"8% of total salary ""holiday pay"" in May + 13th month in December + ¬2k set bonus. Total just over ¬9000. Also significant contribution to pension plan/401K, which is mandatory here","49.000, which is about $60.000 (excl. 401k contribution).I think this is above average here for someone with little working experience",False,1.0,years,2020
2020-12-28,Data Scientist,"Dallas, TX, USA",91.0,Finance,B.S. Economics (state school) 2019. Minor in Physics,Internships and research assistant (semi-related,10k,Desconhecido,91kI'm seriously considering getting a master's because I'm scared I'll be a tough hire elsewhere and want to relocate eventually. I feel pretty lucky to have this role,False,1.5,years,2020
2020-12-28,Machine Learning Engineer,"Copenhagen, Denmark",480000.0,Media intelligence,"MSc Software Development, BEng Mechanical Engineering",Desconhecido,Desconhecido,Desconhecido,78k USDPretty standard starting salary for tech jobs in Denmark. I work in a very small team. I'd be looking at moving off to the UK or Canada in the next year or so (US would probably be a headache with Australian worker E3 visa stuff,False,1.0,years,2020
2020-12-28,"Senior Data Scientist (fought to get the title change, salary hasn't caught up yet","Boston, MA, USA",98000.0,Major financial services company,MS in Statistical Practice,"pre-DS career teaching   * Interned at the same company I work for now at like $28/hour, then same rate as part-time while finishing my MS",Nope,20% bonus eligible (which means I get around 18% actually,"115k annual, good benefits (health, high 401k match, $2k/year towards student loans",False,1.5,years,2020
2020-12-28,Lead Data Scientist,"New York, NY, USA",185000.0,Media,MS Stats,A few years as an analyst      - **$Internship**  Unrelated     - **$Coop**  None,Desconhecido,20,"220,000",False,5.0,years,2020
2020-12-28,Senior Data Scientist,India,16.0,Consulting MBB,Bachelors in Engineering,Desconhecido,0,2-3 lpa (2720-4050 USD approx,"18-19 lpa (~25k USD)Also, can anyone from India please help me understand if this is a good salary? As I do not have many friends in this domain (started as data analyst for ome year and then learnt on the go, still learning)Edit: added currency in USD as well",False,3.5,years,2020
2020-12-28,Data Analyst,"Detroit, MI, USA",70.0,Financial services,BA in French,Digital marketing with some SQL at a startup,0,2k this year due to COVID (usually \~$5k expected,72k,False,1.0,years,2020
2020-12-28,Quantitative Researcher,Desconhecido,90000.0,Small startup fintech,"MS Math, BS Physics","1 year graduate student researcher, 3 years undergraduate student researcher",es,options. Unknown valuation (private company,"90,000Edit: This is my first full-time job outside academia",False,1.0,months,2020
2020-12-28,Machine Learning Data Scientist,"San Francisco, CA, USA",140000.0,Large delivery/logistics app,Desconhecido,Desconhecido,Desconhecido,"100,000 RSUs on signing, $50,000 performance bonus. Fully vested after 4 years",140000 + however you value RSUs,False,1.0,years,2020
2020-12-28,Senior Data Scientist,Czechia,46.0,Healthcare,"Bsc data science, MSc Quantitative Finance",Desconhecido,Desconhecido,10% bonus eligible annually,46-50k annually,False,3.0,months,2020
2020-12-28,Data Scientist,"Midwestern United States, USA",125.0,high frequency trading,BS pure math + engineering. Pure math was a waste but made me look smart,a few data science internships + deep learning research,15k,70k because were doing really well during covid,210k,False,6.0,months,2020
2020-12-28,Data scientist,"New York, NY, USA",120.0,E-commerce,PhD engineering,Post doc only,Desconhecido,"15k bonus. At a pre-IPO startup, equity is valued around $30k/yr","135k, don't count equity as it's paper moneyI'm underpaid based on my skills and actively looking for a new role. Considering switching to MLE",False,1.0,years,2020
2020-12-28,Senior Data Scientist,"San Francisco Bay Area, CA, USA",160000.0,startup / internet,PhD in theoretical physics,1 year postdoc in academia,"15,000",some options / no bonuses,"160,000",False,2.5,years,2020
2020-12-28,Data Scientist,Desconhecido,125000.0,Very early-stage startup,PhD,1 year in an adjacent field.   * **$Internship** 1 internship in an adjacent field.   * **$Coop** N/A,Desconhecido,Equity percentage of the company,"125,000",False,2.0,unknown,2020
2020-12-28,Senior Data Analyst,"Washington, USA",130.0,Cloud SaaS,BS Economics,"3 years of analytics experience, 3 years of customer success/sales",Desconhecido,and/or Recurring Bonuses**: 15% annual bonus. ~$30k annually in RSUs,175-180k,False,3.0,years,2020
2020-12-28,Senior Data Scientist,"Chicago, IL, USA",96000.0,"Large, non-tech &amp; non-finance company","MS Computer Science, BS Computer Science","internship in software engineering, various positions at my university, relevant class projects that I could talk about in interviews",none,none,"96,000",False,2.5,years,2020
2020-12-28,Data Scientist,United States,108500.0,Fintech,Masters in Analytics,"Neuro research, Salesforce db admin","es: $3,000Total comp: $111,500Mainly in technical program manager roles running ETL teams or making Tableau dashboards. Company has very little data science leadership, looking for an exit. Shocked to hear the FAANG guys are making $500k.  I thought it was more around 185-240k with","3,000","111,500Mainly in technical program manager roles running ETL teams or making Tableau dashboards. Company has very little data science leadership, looking for an exit. Shocked to hear the FAANG guys are making $500k.  I thought it was more around 185-240k with stock based on job offers my friends have gotten",False,3.0,years,2020
2020-12-28,Data Scientist,"Seattle, WA, USA",125.0,Startup,BA in hard science,3 years as a DS prior to this role,Desconhecido,6k-10k/year,131k-135k,False,9.0,months,2020
2020-12-28,Senior Data Scientist,"San Francisco, CA, USA",178.0,Tech,PhD in Engineering,"None, first job",es:** ~190k/year in RSU at current,price ($50) and 33k target bonus,400k,False,4.5,years,2020
2020-12-28,Senior Data Scientist,"New York, NY, USA",123500.0,Bulge Bracket Banks,Master's in Statistics and Applied Math,Previously worked in the advertising industry for 2 years,0,"8,000","131,500",False,1.0,years,2020
2020-12-28,Data Scientist,"Baltimore, MD, USA",87000.0,higher education,Masters,1 year as data analyst at a marketing firm,Desconhecido,"8,000","95,000",False,3.5,years,2020
2020-12-28,Analytics Project Manager,"Dallas, TX, USA",70.0,Electronic Components Distribution,Bachelors in Industrial Engineering,Desconhecido,Desconhecido,Desconhecido,Desconhecido,False,1.0,years,2020
2020-12-28,"Lead Analyst, Analytics (Individual Contributor","West Coast, USA",,Desconhecido,"MBA, MS Analytics","3 yrs post-MBA as a Sr Analyst, 7 yrs pre-MBA non-tech engineering roles",10k/$26k,21K/yr,140k,False,1.0,years,2020
2020-12-28,Decision Scientist,Desconhecido,105000.0,SaaS,PhD,5 years in academia post-PhD,Desconhecido,Desconhecido,"105,000",False,1.0,years,2020
2020-12-28,Data Science Manager,"East Coast of the United States, USA",170.0,Consulting,"Masters to get the job, currently working on a Ph.D","Research full time for 1 year, part time/ volunteer while working for another 8, started doing professional consulting gig after.* **$Internship** I did a research fellowship prior to moving to industry, but no internship* **$Coop Nope","60,000","Dependent on company performance - recently was 30%, previously as high as 60",Usually 200k - 250k,False,10.0,years,2020
2020-12-28,NLP Engineer,Desconhecido,110.0,Health (government contracting,BA in Statistics,Research + an internship during undergrad. I am basically still a recent grad,Desconhecido,Nope lol,110k,False,2.0,months,2020
2020-12-28,Desconhecido,Desconhecido,110000.0,healthcare segment of F100,Desconhecido,Desconhecido,Desconhecido,Desconhecido,"Total : 120,000",False,2.0,unknown,2020
2020-12-28,Junior) Data Scientist / Developer,Austria,37.0,Forecasting for external clients,MSc Data Science with some MSc AI courses sprinkled in. BA,"Approx 1 year applied research, 5 years in other industries",Desconhecido,Desconhecido,37k,False,1.0,years,2020
2020-12-28,Data Scientist (Dept leader &amp; only data scientist for SEA,Singapore,36.0,Credit risk,Quantitative psychology from top 11 uni of QS rank,Hr data analyst,Desconhecido,Desconhecido,est usd 42k,False,1.0,years,2020
2020-12-28,Business Analyst/Power BI Developer,"Houston, TX, USA",90000.0,Financial Consulting,High School (Self Learned,AML Compliance Analyst,No,No,"90,000",False,7.0,years,2020
2020-12-28,Data Scientist,"Midwest City, OK, USA",110000.0,Healthcare sales,"MS, MBA","2 years data analyst, 2 years data scientist  æ $Internship: none æ $Coop: none",Desconhecido,10k,"120,000",False,6.0,months,2020
2020-12-28,Data Scientist,"Texas, USA",125.0,Property/Casualty Insurance,PhD Physics,"PhD, 2 years as data scientist in same industry before current role, 12 week in person data science boot camp",Desconhecido,"5k Christmas bonus, 15% target performance bonus",150k,False,2.0,years,2020
2020-12-28,Senior Data Scientist,"East Coast of the United States, USA",140.0,Tech,Masters,4 years**   * **$Internship - 3 (9 months)**   * **$Coop - 1 (6 months,Desconhecido,20K,160K,False,2.0,unknown,2020
2020-12-28,Quant Trader,"Chicago, IL, USA",135.0,Financial Services,"Undergrad and Masters in Engineering, MS Financial Eng",Desconhecido,Desconhecido,50k,185k,False,1.0,years,2020
2020-12-28,Sr Credit Analyst,"Connecticut, USA",110000.0,Large cable/communications company,BS in Business Administration,"5 years experience as a project manager, worked on a lot of automation/data related software products. Data analyst for 2 years after that",Desconhecido,10% bonus,"121,000",False,2.0,unknown,2020
2020-12-28,research associate,"Midwestern United States, USA",,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,False,2.0,years,2020
2020-12-28,Data Manager,Switzerland,,Desconhecido,Bachelor of Sience,Desconhecido,Desconhecido,and/or recuring bonusses: 4000,89000,False,4.0,years,2020
2020-12-28,Senior Data Scientist,"Tennessee, USA",104000.0,Financial,Masters in Mathematics,5 years as Data Scientist,0,19% bonus (depending  on company and individual performance,"130,000",False,1.0,years,2020
2020-12-28,Softwate engineer,Lebanon,15000.0,Digital company,Bachelor degree,worked at 2 banks and a digital company,0,800,"15,800",False,2.0,unknown,2020
2020-12-28,"Data Scientist, Analytics","San Francisco Bay Area, CA, USA",160.0,faang,"bs mechanical eng, mba",data analyst at non-faang large tech company,Desconhecido,50k/yr,"210k One of those fake data scientists in a product-centric role. I occasionally get to use fun tools (relatively simple ML, bayes) but mostly spend time in sql/tableau/dashboarding. Currently trying to up my game skills-wise, not easy given workload at this company",False,1.5,years,2020
2020-12-28,Data Scientist,"New York, NY, USA",100000.0,PE/VC,MS,"4 internships - 3 as a DS, plus research projects in the same industry. No full time experience",Desconhecido,15-25% annual bonus,"105,000 (ex Bonus",False,1.0,years,2020
2020-12-28,CRM Analyst,Ireland,48000.0,Retail - Fashion,"BSc Maths, MSc Computer Science",1 Year Experience as a Data Science Consultant for Big 4 Accounting Firm,Desconhecido,10,"53k.* **Primary Tools**: Python &amp; SQL.Role is as an analyst but primarily involved in data engineering projects particularly around automation of processes. Not much data science but this is growing.Think I'm slightly underpaid in the position I'm in with lots of room to jump, but there's a lot of growth potential and exciting opportunities in the company",False,2.0,years,2020
2020-12-28,Senior Data Analyst,"Houston, TX, USA",60.0,Fintech,"self taught, no college degree",I  worked previously in banking for 6 years and then became a reporting analyst at my current company,Desconhecido,"10% if the company does well (no bonus this year due to covid)    - **Total comp:** 66K- **Duties include:** ETL, using SQL to query large datasets, dashboard creation in tableau and power BI, using Python(pandas) for exploratory data analysis, report automation, and presenting said dashboards to executives. I","66K- **Duties include:** ETL, using SQL to query large datasets, dashboard creation in tableau and power BI, using Python(pandas) for exploratory data analysis, report automation, and presenting said dashboards to executives. I totally feel like Im underpaid, but Ive only been in this role 8 months and I have no college degree, so Im afraid to jump ship",False,8.0,years,2020
2020-12-28,Data Analyst,"San Francisco, CA, USA",115000.0,FAANG,BS in Finance/ Minor in IT,"IT Audit at Accounting firm (1.5), Data Analyst (1",Desconhecido,"100,000/ 4 years - 10% bonus","150,000",False,1.0,months,2020
2020-12-28,Principal Data Scientist,"San Francisco Bay, California, USA",185000.0,Software Startup,PhD,"7 years academia, 2 years product mangement","10,000","180,000 (still privately held company","375,000",False,6.0,months,2020
2020-12-28,Staff Data Scientist,"Washington, DC, USA",,Desconhecido,Desconhecido,Desconhecido,0,recurring bonus: $0,"120,000",False,2.0,years,2020
2020-12-28,Modeling Analyst,Desconhecido,70000.0,Insurance,BS in Management (Info Systems and Business Analytics) from a top undergrad business school,Internship:** Summer intern in PM at the same company,Desconhecido,"2,500 at 6mo mark","72,500",False,2.0,months,2020
2020-12-28,Senior Engineering Lead,Canada,155.0,Oil and Gas,Bachelors in Engineering,4 years,Desconhecido,70k,"225,000I come from a company which doesnt have Data Science proper. We have dashboarding, and analytics within the business departments and I lead them. I am the only data scientist at the business and build, maintain and design machine learning projects with IT. I am also a domain expert in my part of the company as a SR engineer",False,8.0,years,2020
2020-12-28,Data Scientist,"Kansas City Metropolitan Area, USA",89300.0,Large tech company,MS Applied Statistics,6 years Data Analyst,Desconhecido,1.5% annual,"90,673",False,1.5,years,2020
2020-12-28,Senior Data Engineer,Desconhecido,140000.0,Consulting,MS/MBA - Ivy League,Desconhecido,Desconhecido,"20,000","160,000",False,6.0,months,2020
2020-12-28,Associate Finance Manager - Data Science,"New Jersey, USA",93000.0,CPG/Financial Planning &amp; Analysis,MS in Data Science,"3 - 4 years in data analyst role.  Creating reports, manipulate data, some exposure to SQL in work",es:** No,"s, bonuses are still being computed","100,000",False,11.0,months,2020
2020-12-28,Data Scientist Intern,"Brussels, Belgium",1400.0,Small Pharmaceutical,Master,Summer BI Intern,0,0,0,False,1.0,years,2020
2020-12-28,Data Scientist,Desconhecido,,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,False,2.0,unknown,2020
2020-12-28,Business Intelligence Developer,"Toronto, ON, Canada",,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,100k (CAD,False,10.0,years,2020
2020-12-28,Insights Consultant,"New Jersey, USA",150000.0,Market Research,Masters,12 years,Desconhecido,Desconhecido,"160,000",False,2.0,years,2020
2020-12-28,Lead Data Scientist,"Chicago, IL, USA",120000.0,Small Consultancy,"BA, MA  (Economics",2 years in related field,Desconhecido,Desconhecido,"120,000",False,3.0,years,2020
2020-12-28,Data Scientist,"Cambridge, MA, USA",,Desconhecido,BA from an LAC in math,Desconhecido,Desconhecido,Desconhecido,Total: $120k + Options,False,6.0,months,2020
2020-12-28,Data scientist,"New York, NY, USA",,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,False,2.0,years,2020
2020-12-28,Senior quantitative/modeling analyst,Desconhecido,125000.0,Banking,BS in computer science,5 years at another company as a junior QA,my first year,"25,000 performance bonus","150,000",False,2.0,years,2020
2020-12-28,Senior Principal Data Scientist,"Upper Midwest, USA",160000.0,Healthcare,MSc in Palaeoeconomics,6 years of AI/ML healthcare experience prior to current role,"and discounted stock purchase* **Total comp:** $185,000 + cheap(er",purchase,"185,000 + cheap(er) stock",False,2.5,years,2020
2020-12-28,Data Analyst,"Denver, CO, USA",67000.0,Travel,Bachelors,Desconhecido,Desconhecido,5% bonus (no bonus this year of course due to Covid,"70,000",False,2.0,years,2020
2020-12-28,ML Engineer,"Minsk, Minsk Region, Belarus",33.0,e-commerce,MS in Applied Maths,2.5y   * **$Internship**   * **$Coop,Desconhecido,Desconhecido,33k,False,1.0,years,2020
2020-12-28,Data Scientist,Germany,55.0,E-commerce,MSc Information System (CS Focus,3 Internships,0,0Paid Vacation: 30 days,55k,False,6.0,months,2020
2023-01-02,Data Scientist,"Houston, TX, USA",175000.0,Mid-size Tech,MS in Statistics,5 yrs,"20,000",20,"210,000",False,1.0,years,2022
2023-01-02,Desconhecido,Desconhecido,,Desconhecido,PhD,"1 yr. internship"" $Coop",Desconhecido,10,"75,000",False,1.0,years,2022
2023-01-02,Junior DS,Desconhecido,,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,55k Industry: HealthcareEducation: MSPrior experience: None,False,2.0,months,2022
2023-01-02,Data Analyst,"Arlington County, Arlington, VA, USA",113000.0,Public/Federal Subcontractor,Bachelor's Science Quantitative Finance,"2 years in Finance, 3.5 years in Automotive, both similar positions in scope.    * **$Internship:** NA",Desconhecido,"6,000 year end bonus for 2022","119,000",False,1.5,years,2022
2023-01-02,"Engineering Manager, Data Science",Desconhecido,227000.0,Healthcare,STEM PhD (Chemistry,"1 year in Data Science, 3 years in DS-relevant postdoc * **Internship**: NA * **Coop**: NA",10K,"40K in equity (funny money at this point), 20K in discretionary bonus","257,000 + ~40,000 in equity that may or may not be tradeable some day",False,1.0,years,2022
2023-01-02,Data Analyst II,"San Francisco Bay Area, CA, USA",75.0,Large Tech/Supply Chain,BA Economics / Currently Pursuing Master's in DS,"First job in a data capacity. I convinced the analytics team to give me a job after doing really well in an unrelated role and doing some work for them for free beforehand. I felt very lucky to move into the role despite the low salary, and then entered a Masters almost immediately. Got a raise to 80k after good performance in my first year which was technically more than my company allows (max 5%) which was validating for my imposter syndrome. Looking forward to not being so tight on money some day soon whenever I switch jobs and continuing to study and work hard in the meantime.**$Internship:** N/a**$Coop:** N/a",N/a,Desconhecido,75k,False,1.0,years,2022
2023-01-02,Senior Data Scientist,"New York, NY, USA",150000.0,"Large e-commerce platform, marketing","Undergrad in finance+psychology, masters in economics","6 years webdev, 3 years DS at an agency/consultancy, 1 year DS at a startup   * **$Internship:** NA   * **$Coop:** NA",300K in RSUs,"15% bonus target + RSU refresh grant* **Other comp benefits worth noting:** Full employee sponsored insurance coverage for myself and family, $1700 lifestyle spending stipend","185,000 + RSUs",False,6.0,months,2022
2023-01-02,sr mle,Canada,195000.0,ai/nlp startup,msc stats,4 years mle,"29,205",options between $0 - $90k (at price from last raise,"224,250 - $314,250",False,1.0,years,2022
2023-01-02,Data Scientist,Desconhecido,125000.0,healthcare,"BS in engineering, bootcamp grad for DS","3 years in different industry with some data analytics work. (Excel, dashboards)   * **$Internship** NA   * **$Coop** NA",Desconhecido,6% base,"132,000Im a career changer and couldnt be happier with where Im at. Heres hoping to many more years as a Data Scientist",False,6.0,months,2022
2023-01-02,Principal Data Scientist,Desconhecido,218.0,Large Tech,GED / some college,6 yrs,0,"100% RSU, 60% cash bonus",565k,False,3.0,years,2022
2023-01-02,Data Migration Analyst,"Toronto, ON, Canada",70000.0,Software,"Bachelors, double major in Finance and Data Analytics (starting MS in DS next week","6 month contract position as a Technical Operations Analyst`""	`$Internship: NA",Desconhecido,Desconhecido,Desconhecido,False,1.5,years,2022
2023-01-02,Lead Machine Learning Scientist,"London, UK",105.0,Travel,STEM MSc,6y Data Science * **Internship**: N/A * **Coop**: N/A,10K,"17.5% bonus, £90k/4 RSU* **Total comp**: £150k first year","almost doubled from my previous role (also lead), thanks to the RSU",False,1.0,years,2022
2023-01-02,"Data Scientist, L5","Seattle, WA, USA",195.0,FAANGMULLA,PhD Physics/Astronomy,Desconhecido,"es:** 165K/year  **Total comp:** 360K/year target, but with",165K/year,"360K/year target, but with stocks going down, more like 310K/year",False,4.0,months,2022
2023-01-02,Data Engineer,Desconhecido,15600.0,Electronics,MSc. Big Data,Desconhecido,Desconhecido,Desconhecido,Desconhecido,False,5.0,months,2022
2023-01-02,Data scientist,"New York, NY, USA",150.0,Advertising,"Master's in data science, Bachelor's in a life science",Some analytical research in undergrad  * Internship: At my current company  * Co-op,"pending performance review) every year, $12k total* Total Comp: About $175k for first 3 years, then $162k after","Yearly bonus (pending performance review) every year, $12k total","About $175k for first 3 years, then $162k after stock stops being vested. Unless I fuck up and miss that bonus lul",False,8.0,months,2022
2023-01-02,Senior Data Analyst,"Atlanta, GA, USA",85000.0,small logistics firm,BA,2.5yrs,0,10,"93,500",False,1.0,years,2022
2023-01-02,Staff Machine Learning Engineer,Desconhecido,260.0,Software for an industry you've never heard of,MS Statistics,8 years experience in various DS and DA roles,a large,option package that is extremely underwater at the moment,"300k, not counting my equity which I'm just writing off at this point",False,2.0,years,2022
2023-01-02,"Sr. Data Scientist (Department name is ""Advanced Analytics","Silicon Valley, CA, USA",190.0,eCommerce,"B.S. Industrial Engineering, M.S. Computer Engineering","1 Year Manufacturing, 2 Year Software Development, 3 Years Analytics Engineering, 5 Years Data Science.   * **$Internship:** None   * **$Coop:** 6 months at a logistics/manufacturing company",Desconhecido,Average $30K Bonus + $100K Refresher,320K,False,8.0,years,2022
2023-01-02,technical lead (director,Desconhecido,,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,False,2.0,unknown,2022
2023-01-02,Sr Business Analytics Consultant,"Midwest City, OK, USA",125000.0,Large Insurance,BS in Supply Chain and MIS,Desconhecido,Desconhecido,Desconhecido,"151K""	`Actual job: I definitely wouldnt call myself a data scientist at all, but considering how much creep has taken that title Ill post here. I basically take what the engineers put in snowflake and massage it through Alteryx and present it in Tableau. Most of the job is the working with engineering side and and also getting the end user to understand what they actually needs",False,3.0,years,2022
2023-01-02,Data Scientist,Desconhecido,250000.0,Tech,Masters,6 years in analytics,Desconhecido,on 4 year grant cycle with refreshers,"450,000",False,7.0,years,2022
2023-01-02,Data Scientist,Desconhecido,100.0,CPG/retail start-up,current undergrad (computational astrophysics,4 years in academia + previous start-up experience     * **$Internship:** REU + NASA     * **$Coop:** none,none,10k,110k,False,4.0,months,2022
2023-01-02,Data Scientist,"Amsterdam, Netherlands",49.0,Semi-government,MSc (STEM,Desconhecido,Desconhecido,Desconhecido,"60kThis is for 36 hours a week, I usually work 9 hour days so 4 days a week. Also pension fund/401k gets paid largely by company, but that is not included in this",False,2.5,years,2022
2023-01-02,Senior Machine Learning Engineer,Desconhecido,200000.0,Green Tech,STEM MS (Mechanical Engineering,"1.5 yr Systems Engineering, 1.5 yr Data Engineer, 2.5 yr Software Engineer""	`Internship: NA""	`Coop: NA",Desconhecido,options at 1 yr tenure,"240,000",False,1.0,years,2022
2023-01-02,Director,Desconhecido,253.0,Market Intelligence / Human Capital,"B.Sc. Social Sciences, M.A. Administration, Leadership and Technology, M.Sc. Learning Analytics, Ph.D. Cognitive Science","8 years in data, 15 years in tech/FT work    * **$Internship:** N/A    * **$Co-op:** N/A",25k Signing,"20%-30% Cash bonus, 360k RSU's (3 years, vesting quarterly - 1 year cliff).* **Fringe:** 50% 401k match on first 6",450k-500k (depending on company performance cash bonus,False,2.0,unknown,2022
2023-01-02,Director of Selection &amp; Assessment,United States,,Desconhecido,PhD Industrial/Organizational Psychology,"10 years; 4 years on another selection team, 2 years as a Consumer Demand Research Scientist, 3 years as a Principal Data Scientist, 1 year as a Director of Data Science",and $35k in sign on Equity that vests quarterly over 3 years,Target Annual Bonus of 30% of base and $50k in equity that vests monthly over 3 years.Fringe Benefits: 6% 401k match on base and bonus&amp;#x200B,300k,False,3.0,months,2022
2023-01-02,Desconhecido,United Kingdom,,FinTech,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,False,2.0,unknown,2022
2023-01-02,Senior Data Scientist,Desconhecido,,Desconhecido,MS in Fisheries and Wildlife Sciences (for real,Desconhecido,"2K for ""wellness"" benefit (spent mine this year on ski pass and squat stand/weights/barbell for garage)* Total yearly comp: &gt;$200K (depending upon","currently in the shitter), up to 15% potential for bonus, $2K for ""wellness"" benefit (spent mine this year on ski pass and squat stand/weights/barbell for garage",Total yearly comp: &gt;$200K (depending upon stock performance,False,9.0,months,2022
2023-01-02,Jr. Data Scientist,"Toronto, ON, Canada",95.0,Supply Chain,"BS in Biochem, MS in DS","1 yrs (via internships)- Both internships non-tech, both remotely relevant",Desconhecido,"10% annual bonus, &lt;5% RRSP matching","110k CADWondering how much I should put myself at in about 1-2 years from now, when I start re-applying for jobs (in NYC/Seattle/Cali/Toronto/Vancouver). Also, not many Toronto salaries",False,1.0,years,2022
